locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLJHALKC_00001	gene	1335	dnaA			
PLJHALKC_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
PLJHALKC_00002	gene	1101	dnaN			
PLJHALKC_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
PLJHALKC_00003	gene	1074	recF			
PLJHALKC_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
PLJHALKC_00004	gene	2415	gyrB			
PLJHALKC_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
PLJHALKC_00005	gene	813	yidA			
PLJHALKC_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
PLJHALKC_00006	gene	1062				
PLJHALKC_00006	CDS	1062				hypothetical protein
PLJHALKC_00007	gene	1134				
PLJHALKC_00007	CDS	1134				hypothetical protein
PLJHALKC_00008	gene	690	lutR			
PLJHALKC_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
PLJHALKC_00009	gene	879	dgoK1_1			
PLJHALKC_00009	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
PLJHALKC_00010	gene	618	dgoA_1			
PLJHALKC_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
PLJHALKC_00011	gene	1149	dgoD			
PLJHALKC_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
PLJHALKC_00012	gene	1293	dgoT_1			
PLJHALKC_00012	CDS	1293	dgoT_1			D-galactonate transporter
PLJHALKC_00013	gene	1221				
PLJHALKC_00013	CDS	1221				hypothetical protein
PLJHALKC_00014	gene	333				
PLJHALKC_00014	CDS	333				hypothetical protein
PLJHALKC_00015	gene	414	ibpA			
PLJHALKC_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
PLJHALKC_00016	gene	429	ibpB_1			
PLJHALKC_00016	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
PLJHALKC_00017	gene	825				
PLJHALKC_00017	CDS	825				hypothetical protein
PLJHALKC_00018	gene	1662	aspT_1			
PLJHALKC_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
PLJHALKC_00019	gene	723	mngR_1			
PLJHALKC_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
PLJHALKC_00020	gene	1623	malP_1			
PLJHALKC_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
PLJHALKC_00021	gene	1323	aglB			
PLJHALKC_00021	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
PLJHALKC_00022	gene	348	yidH			
PLJHALKC_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
PLJHALKC_00023	gene	363	yidG			
PLJHALKC_00023	CDS	363	yidG			Inner membrane protein YidG
PLJHALKC_00024	gene	501				
PLJHALKC_00024	CDS	501				hypothetical protein
PLJHALKC_00025	gene	1329	dsdA			
PLJHALKC_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
PLJHALKC_00026	gene	1338	dsdX			
PLJHALKC_00026	CDS	1338	dsdX			D-serine transporter DsdX
PLJHALKC_00027	gene	924	dsdC_1			
PLJHALKC_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
PLJHALKC_00028	gene	1185	emrD			
PLJHALKC_00028	CDS	1185	emrD			Multidrug resistance protein D
PLJHALKC_00029	gene	834				
PLJHALKC_00029	CDS	834				hypothetical protein
PLJHALKC_00030	gene	447				
PLJHALKC_00030	CDS	447				hypothetical protein
PLJHALKC_00031	gene	90				
PLJHALKC_00031	CDS	90				hypothetical protein
PLJHALKC_00032	gene	96				
PLJHALKC_00032	CDS	96				hypothetical protein
PLJHALKC_00033	gene	1689	ilvB_1			
PLJHALKC_00033	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
PLJHALKC_00034	gene	288	ilvN			
PLJHALKC_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
PLJHALKC_00035	gene	594	uhpA			
PLJHALKC_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
PLJHALKC_00036	gene	1503	uhpB			
PLJHALKC_00036	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
PLJHALKC_00037	gene	1329	uhpC			
PLJHALKC_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
PLJHALKC_00038	gene	1392	uhpT			
PLJHALKC_00038	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
PLJHALKC_00039	gene	453				
PLJHALKC_00039	CDS	453				hypothetical protein
PLJHALKC_00040	gene	324				
PLJHALKC_00040	CDS	324				hypothetical protein
PLJHALKC_00041	gene	360				
PLJHALKC_00041	CDS	360				hypothetical protein
PLJHALKC_00042	gene	1194	nepI_1			
PLJHALKC_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
PLJHALKC_00043	gene	810	phnX			
PLJHALKC_00043	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
PLJHALKC_00044	gene	1104	phnW			
PLJHALKC_00044	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
PLJHALKC_00045	gene	720	phnR			
PLJHALKC_00045	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
PLJHALKC_00046	gene	1014	phnS			
PLJHALKC_00046	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
PLJHALKC_00047	gene	1113	phnT			
PLJHALKC_00047	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
PLJHALKC_00048	gene	861	phnU			
PLJHALKC_00048	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
PLJHALKC_00049	gene	378	phnV_1			
PLJHALKC_00049	CDS	378	phnV_1		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
PLJHALKC_00050	gene	408	phnV_2			
PLJHALKC_00050	CDS	408	phnV_2		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
PLJHALKC_00051	gene	1380	lamB_1			
PLJHALKC_00051	CDS	1380	lamB_1		COG4580	Maltoporin
PLJHALKC_00052	gene	303	chbA_1			
PLJHALKC_00052	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
PLJHALKC_00053	gene	1323	licC_1			
PLJHALKC_00053	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
PLJHALKC_00054	gene	315	celA_1			
PLJHALKC_00054	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
PLJHALKC_00055	gene	945				
PLJHALKC_00055	CDS	945			COG1609	HTH-type transcriptional regulator
PLJHALKC_00056	gene	1371	pcaK_1			
PLJHALKC_00056	CDS	1371	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
PLJHALKC_00057	gene	1263	galA			
PLJHALKC_00057	CDS	1263	galA	1.13.11.57		Gallate dioxygenase
PLJHALKC_00058	gene	1227	hdfR_1			
PLJHALKC_00058	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
PLJHALKC_00059	gene	741	galB			
PLJHALKC_00059	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
PLJHALKC_00060	gene	714	galC			
PLJHALKC_00060	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
PLJHALKC_00061	gene	1086	galD			
PLJHALKC_00061	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
PLJHALKC_00062	gene	864				
PLJHALKC_00062	CDS	864				hypothetical protein
PLJHALKC_00063	gene	291				
PLJHALKC_00063	CDS	291				hypothetical protein
PLJHALKC_00064	gene	903	yicL			
PLJHALKC_00064	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
PLJHALKC_00065	gene	1434	murP			
PLJHALKC_00065	CDS	1434	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
PLJHALKC_00066	gene	903	murQ_1			
PLJHALKC_00066	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
PLJHALKC_00067	gene	1164	bcr_1			
PLJHALKC_00067	CDS	1164	bcr_1			Bicyclomycin resistance protein
PLJHALKC_00068	gene	1365	oprM_1			
PLJHALKC_00068	CDS	1365	oprM_1		COG1538	Outer membrane protein OprM
PLJHALKC_00069	gene	3108	mexB			
PLJHALKC_00069	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
PLJHALKC_00070	gene	1125	mexA			
PLJHALKC_00070	CDS	1125	mexA			Multidrug resistance protein MexA
PLJHALKC_00071	gene	417				
PLJHALKC_00071	CDS	417		2.3.1.-		Acetyltransferase
PLJHALKC_00072	gene	648	betI_1			
PLJHALKC_00072	CDS	648	betI_1			HTH-type transcriptional regulator BetI
PLJHALKC_00073	gene	1494	bmr3			
PLJHALKC_00073	CDS	1494	bmr3			Multidrug resistance protein 3
PLJHALKC_00074	gene	915	dmlR_1			
PLJHALKC_00074	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
PLJHALKC_00075	gene	627				
PLJHALKC_00075	CDS	627				hypothetical protein
PLJHALKC_00076	gene	471				
PLJHALKC_00076	CDS	471				hypothetical protein
PLJHALKC_00077	gene	537				
PLJHALKC_00077	CDS	537				hypothetical protein
PLJHALKC_00078	gene	906	mtrA			
PLJHALKC_00078	CDS	906	mtrA			HTH-type transcriptional regulator MtrA
PLJHALKC_00079	gene	810	nlpA			
PLJHALKC_00079	CDS	810	nlpA		COG1464	Lipoprotein 28
PLJHALKC_00080	gene	855				
PLJHALKC_00080	CDS	855				hypothetical protein
PLJHALKC_00081	gene	561	rppH_1			
PLJHALKC_00081	CDS	561	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
PLJHALKC_00082	gene	780				
PLJHALKC_00082	CDS	780				hypothetical protein
PLJHALKC_00083	gene	954	cdhR_1			
PLJHALKC_00083	CDS	954	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
PLJHALKC_00084	gene	1050	yahK			
PLJHALKC_00084	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
PLJHALKC_00085	gene	699	iprA_1			
PLJHALKC_00085	CDS	699	iprA_1			Inhibitor of hydrogen peroxide resistance
PLJHALKC_00086	gene	291	ycnE			
PLJHALKC_00086	CDS	291	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
PLJHALKC_00087	gene	1008				
PLJHALKC_00087	CDS	1008				Zinc-type alcohol dehydrogenase-like protein
PLJHALKC_00088	gene	468				
PLJHALKC_00088	CDS	468				hypothetical protein
PLJHALKC_00089	gene	95				
PLJHALKC_00089	tRNA	95				tRNA-SeC(tca)
PLJHALKC_00090	gene	1395	yicJ_1			
PLJHALKC_00090	CDS	1395	yicJ_1		COG2211	Inner membrane symporter YicJ
PLJHALKC_00091	gene	2319	yicI			
